,content
181,"A bit of away drift, on off, on a nagging length, Jamie Smith defends."
184,"Sharp turn! This lands well outside the line of the leg stump and spins towards the batter, on a nagging length, on middle, Smith plays the line but the ball goes past the outside edge and clips the back pad before going to slip."
185,"Stays over the wicket for the right-hander and slows it down, on middle, Jamie Smith is watchful in defence."
195,"FOUR BYES! This keeps low and does not turn much, outside off, on a length, Stokes lunges to smother the spin. The ball beats him on the outside edge and goes through the legs of Rishabh Pant."
196,"On off, on a length, Ben Stokes gets right forward to block."
203,FOUR! Hit with real authority! Mohammed Siraj goes into the wicket again but fails to get it high enough this time. On off and this sits up to be hit. Ben Stokes stands tall and hammers it through mid-wicket for a boundary. The 50-run partnership is up between Stokes and Smith.
204,Wide! A well-directed bumper around the left shoulder by Siraj. Ben Stokes sways away. Wide called for height.
212,"Now then! A chance created by Jadeja. Spin and bounce. Tough little period for Stokes! Landed around off, and turns across the batter on the leg stump. Ben Stokes hangs deep in the crease, and looks to work it across but gets it off the gloves and the ball dips in front of the leg gully fielder, where Gill, who is a bit deep, dives forward, and scoops it on the bounce."
213,"Turns in from the rough, on a length, on off. Ben Stokes goes back in the crease and blocks."
217,Attacking the off pole and this nips back in. Keeps a bit low as well but Jamie Smith adjusts to the low bounce and taps it down the deck with a straight bat.
220,"Spinning back in sharply, on middle, Ben Stokes is on the back foot and watchful as he keeps it out."
228,"Tighter line, on the off stump, on a length, Ben plays it back to Siraj with a straight bat."
233,"This keeps low and turns back sharply, on the off stump, Stokes manages to keep it out. Ekes out an inside edge onto the pads."
234,"Turn and bounce! From over the wicket to the left-hander, this lands on the footmark outside the off stump and a puff of dust comes up. Stokes stays back and fends it down on the leg side."
244,"On middle, length-delivery. Smith taps it to the leg side."
261,"This stays a tad low! On a length, on middle and going across. Ben Stokes misses again to work that across and is beaten by the lack of bounce this time. The ball thuds on the pad and rolls to the gully region."
264,"Length, outside off, left alone."
265,"Nagging length, outside off, Stokes shoulders arms at it."
274,"Nagging length, around fourth and fifth stump. Stokes lets it be."
275,Lands around off and then straightens up with an extra bounce. Stokes hangs his bat in the air to leave.
279,"From around the wicket, served on a length, Stokes gets right behind it as he presses forward."
281,"Delivers it on a nagging length, outside off, Smith tentatively hangs his bat out away from his body. Gets it off the outer half and it dribbles towards gully."
284,"On off, on a length, solidly defended by Brook."
288,"Length ball, on the stumps, tapped across to the leg side by Stokes."
294,"Hard length, angling in and around off, Ben Stokes hangs back and taps it onto the surface."
295,"Length-delivery, defended back to the bowler."
297,"OUT! PLAYED ON! BOWLED! Ollie Pope will feel a bit unlucky here, but India get the breakthrough! That extra bounce does the trick for Akash. He continues to hit the deck hard, on top of the middle. It lifts off the deck and surprises Pope who brings his bat in front to defend. But the ball nips in, grazes the back arm of the batter and rolls back into the stumps behind. Akash Deep is ecstatic as he gets his third wicket, and so are India. England are 80/4.<br><b>Ollie Pope b A Deep 24 (50b 3x4 0x6)</b>"
301,"Whoa! That just took off, but adjusted well by Brook! Hard length, lifting off the deck suddenly, on off, Harry Brook is flummoxed with the extra bounce but takes the bottom hand off the bat to dab it down. Gets it off the outside edge and the ball goes past the right of the gully fielder for a couple of runs."
303,"Nagging length, on middle, Harry defends it solidly."
305,"Hard length, on top of off, Harry Brook blocks it back to the bowler."
308,"On off, on a length, Brook lets it arrive and dabs it with soft hands to the off side."
312,"This one nips away from off, on the shortish length. Ollie Pope gets behind the line and knocks it to the off side."
313,"Makes the batter play at it, length-delivery, on off, Ollie Pope leans on and defends it off the outer half of the bat to the gully region."
314,"No swing! Goes straight on a length, just outside off. Ollie Pope offers no shot at it."
324,"Watchful leave! In-between length, around the fourth and fifth stump line, Ollie Pope shoulders arms."
326,"Nagging length, on middle, worked to square leg."
330,"Nagging length, on middle and leg, steered to mid-wicket."
332,"BEATEN! A jaffa from Krishna! Bowls around off, inviting the batter to draw his front foot out. The ball angles in and then straightens up the pitch, beaten Pope's outside edge."
340,"That hurried him! A sharp nip-backer from off, on a length. Ollie Pope is rushed into the shot and is cramped up for space. Wears it on the thigh pad and the ball rolls behind."
345,"Nagging length, outside off, Pope leaves it alone."
358,"Nagging length, on off, Joe Root leans on it and blocks it off solidly."
359,"Bowled from a wider angle again, around off on a length, Root defends it out from the crease."
366,"Shapes away from outside off, Root lets it be."
369,"A gentle outswinger, but outside off, Root leaves."
374,"Hard length, skidding through the surface on off, Pope is squared up and stabs on the pitch. Again, the bottom hand comes off the bat."
378,"Keeps the line of attack outside off, on a length. Pope offers no shot as the ball nibbles away."
381,"Shapes in around off and then straightens off the deck, on a length. Root watchfully leaves by shouldering arms at it."
389,"FOUR MORE! Two in two for Duckett! And that's deliberately played! Around the stumps, length, around off. Ben Duckett opens the bat face and steers it between the third slip and the gully fielders. Nitish Kumar Reddy at gully is a bit late to react as he gets low, sticks out his right hand. Goes one-handed to grab the ball, but it evades him and races behind to the deep third fence."
391,"Pitches on middle and nibbles away, Ben opens the bat face late and glides it to gully."
407,"Ouch! On a nagging length, on off, Zak Crawley looks to get behind the line of the ball. Gets beaten on the inside edge as the ball jags back in and kicks up a bit to catch him on the box. Crawley is down on his haunches. Deep starts with a maiden!"
417,"On off, Sundar runs it down to deep third for a single."
427,"Shortish delivery, spinning from outside leg, Ravindra Jadeja hangs back and punches it wide of mid-wicket for a single."
429,"SIX! KABOOM! Drops a half volley, on off, Shubman Gill shimmies down the track and sends it sailing behind deep mid-wicket for a six."
431,"Down leg, on a length. Jadeja lets it be."
433,"NO BALL for overstepping! Well down leg, Shubman Gill lets it be. Jamie Smith fails to gather it and concedes a bye."
435,"SIX! Hit with real authority and that brings up 150 for SHUBMAN GILL! Ravi Shastri informs on air that Gill is the FIRST batter to score a double hundred and 150 in the same Test. Pushed through, in the slot, on middle, Gill gets down on a knee and clobbers it over deep mid-wicket for a six."
441,"Directed at the pads, on a nagging length, Gill works it in front of square on the leg side for one more."
445,"Turning away from the rough, outside off, Ravindra Jadeja shoulders arms."
450,"Sprayed down leg, Ravindra Jadeja makes the leave. Jadeja thinks it should have been a wide for bowling a negative line but the umpire does not think so."
451,"Leg bye! Tossed up, turning into the right-hander, outside off, Gill shuffles across for the reverse but fails to lay any bat on it. A leg bye is taken as the ball goes off the pads on the leg side."
455,"Tossed up, on middle, Ravindra Jadeja steps out and ends up getting too close to the ball. Pushes it back to the bowler."
467,"On off, on a length, Jadeja drops it in front of mid-wicket and wants to sneak in a single, but Gill sends him back."
470,"Pushed through, on middle, Gill clips it wide of mid-wicket for a single. India's 350 is up and the lead is 530!"
471,"Turning down leg, Gill lets it be."
474,"Bye! Looped up, looked like the carrom ball from Bashir, outside off, Gill goes for the reverse but misses out. The keeper, Jamie Smith fails to gather it cleanly and the ball deflects off the gloves to his right, allowing a bye."
497,"SIX! Clobbered! Woakes lands it on a nagging length, on middle, Shubman dances down the track and tonks it towards the sight screen for a six. The lead is now 499!"
498,"Darted in, on middle, Ravindra Jadeja gets forward to defend."
502,"SIX! Excellent use of the feet! Floated up from around the wicket, on a length, on middle, Jadeja skips down the track and thumps it back over the bowler's head for a six."
504,"Sliding on with the arm from around the wicket, attacking the stumps, Ravindra Jadeja defends with his bat close to the front pad. That will be TEA on Day 4!"
505,"Spinning away, outside off, on a length, Ravindra Jadeja leaves the ball alone."
506,"Bowled outside off, on a length, left alone by RJ."
507,"Arm ball, outside off, darted away. Left alone."
508,"This turns away sharply off the rough outside the off stump, Ravindra Jadeja lets it go."
509,"Pushed through, outside off, Jadeja lets it be."
510,"Floated up, on off, solidly blocked out by Shubman."
517,"On off, stabbed down on the off side by Ravindra."
518,"This is pushed through from wide of the crease. Outside off, lands on the rough and it kicks up a bit and turns sharply as well. Left alone by RJ."
522,"On off, on a length, Gill plants his front foot across and clips it to mid-wicket."
524,"This is bowled quicker, at the stumps, Jadeja defends."
525,"Turning away, slower and outside off, left alone by RJ."
534,"Angled in at the hips, on a nagging length, turned away to backward square leg for a run."
538,"Drags the length back, on off, Jadeja gets on the back foot and nudges it to the left of deep mid-wicket for a couple of runs. Gill had to hurry there for the second run."
540,"Drifting away, around off, Shubman Gill gets forward to block."
546,"On off, on a nagging length, Ravindra Jadeja defends."
547,"Pushed through, on off, Jadeja blocks it out."
552,"On a shortish length, over middle, Jadeja rises with the bounce and drops it on the leg side for one."
559,"Looped up, outside off, Gill smothers the spin."
561,"First hint of aggression from Jadeja! Tossed up from around the wicket, on a length, Ravindra Jadeja skips down the track and does not manage to get to the pitch of the ball. Ends up dragging it to the left of the diving mid-wicket fielder for a couple."
568,"Around leg, on a nagging length, turned to square leg."
573,"Continues to give the ball air, on a length, on leg, defended by Jadeja."
577,"Attacking the stumps from a bit wide on the crease, on a length, Shubman taps it back to Stokes."
579,"Sliding down leg, on a nagging length, Shubman Gill shoulders arms."
580,"On a hard length, on off, Ravindra Jadeja rides the bounce and nudges it in front of square on the leg side for one."
582,"Loopy delivery, just outside the off stump, Shubman Gill gets forward for the block but fails to get to the pitch of the ball. The ball turns past the inside edge to hit the front pad outside the line of the off stump."
583,"On off, this keeps straight, Gill blocks it out."
584,"Wide! Floated up but well wide on off, Gill lets it be."
589,"Angled in at the hips, Shubman Gill wrists it to square leg."
591,"Sprayed down leg, Gill lets it go."
597,"SIX! It seems Shubman Gill has had enough of blocking against Shoaib Bashir! Bashir offers flight, on a length, on middle, the Indian skipper skips down the track and heaves it with the turn over deep mid-wicket for a six."
598,"Drags the length back, on off, Shubman Gill gets his bat out in front to defend."
602,"Length-delivery, outside off, Jadeja leaves."
605,"Length, outside off, guided away to deep third for a single."
610,"Length ball, on middle, steered to backward square leg."
618,"Nagging length, around off, watchfully left alone by Jadeja."
620,"Spins in on off, Shubman Gill leans forward to block, but the ball goes off the inside edge to backaward square leg."
626,"Length ball, outside off, left alone by Jadeja."
627,"A well-directed bumper from Josh, angling in and on off. Ravindra Jadeja drops down his wrists, arches back and lets it through."
642,"Fired on middle, on a length, knocked straight back."
643,No run.
644,"Almost a similar delivery that spins away from outside off, Rishabh Pant lets it be."
653,"Around the stumps, nagging length on off, Rishabh Pant gets behind it and solidly defends it to the off side."
658,"On middle, on a length, Shubman Gill tucks it to the right of mid-wicket for a single."
681,"Drags the length back, on middle, nudged off the back foot to the leg side."
686,"Almost a half-tracker, on middle, Shubman Gill meets the ball under his eyes and blocks it to the right of the bowler. And that will be LUNCH ON DAY 4. India are 177/3, leading by 357 runs!"
689,"On the stumps, from around the stumps. Rishabh Pant tucks this length ball to the mid-wicket region for a single."
692,"Drifter into the pads, on a length, Pant goes back and jabs it on the pitch."
695,"Good follow-up! Slower through the air, sliding on the pads, Pant nudges it to mid-wicket."
700,"Keeps the stumps in play, on a length, Gill gently pushes it to the leg side, beside the strip."
704,"On middle, and on a length, Rishabh Pant hangs back and taps it across to the square leg region for a single."
705,"On middle and turns toward the leg stump, Shubman Gill steers it to the square leg region for a single."
706,"Pitches around off and turns in, Shubman Gill leans forward and defends."
714,"Close! Onto the pads, on a length. Shubman Gill misses to glance it away, but the ball just grazes the front pad on the way to the keeper."
717,"Pitched on off, on a length, spinning away. Rishabh Pant steers it to the off side and takes a quick single."
719,"Fairly outside off, on a length, Pant does not touch that."
721,"Shoaib Bashir is into the attack now. Starts off on a length, spinning in on middle. Shubman Gill gets back and across and dabs it to backward square leg for a single."
722,"Nagging length, on off, cutting back in, Rishabh Pant hops off and stabs it across on the pitch."
732,"FOUR! That's a deft touch! Hard length, just around off, Shubman Gill rises on the toes, waits for the ball to come and opens the bat face pretty late. Guides the ball to deep third for a boundary. A suddenly, the boundaries have started to flow."
740,"Oh, a close leave! Just in the vicinity of the off pole, on a length. It lands, nips in, and just dies on the bounce as KL Rahul makes a watchful leave. Jamie Smith gets low to gather the ball, but makes a fumble as he gets a bad bounce, and it rolls behind him. The batters cross for a bye."
743,"Straight and on off, KL Rahul blocks it on the pitch."
746,"Just outside off, on a length, left alone by Gill."
752,"Maiden from Carse. Another rhythmic over from him. Hits the deck hard, just outside off and it nips away a touch. KL Rahul lets it pass."
753,"A gently away shape, on a length, but fairly outside off, KL Rahul does not poke at it."
757,"Just a shade of an away shape, outside off, on a length. KL Rahul hides the bat in front of the pad to let that go."
767,"FOUR! Gets it away! On a hard length, outside off, Rahul presses back and looks to cash in on the width. Sets up to flay it away and the ball kicks up a bit but Rahul manages to get it through the vacant gully region for a boundary."
770,"Loopy slower delivery by Woakes but the line is down leg, Gill walks inside the line but fails to get any bat on it. The keeper, Jamie Smith gathers it with a dive to his left."
772,"Shaping away, on off, Gill gets right forward to block."
777,"On a length, on middle, nudged wide of mid-wicket for a single. 100 comes up for India and the lead is now 280."
784,"On top of the off stump, Shubman Gill presents a straight bat and plays it back to Woakes."
804,"A bit of extra bounce, on off, on a hard length, Rahul gets on top of it and fends it down."
805,"Completely opened up! Angling in and then it straightens off the deck, over off, Rahul is turned around in defence and the ball flirts past his outside edge."
809,"On middle and leg, kept out on the leg side by KR."
814,"Oh, that could have gone anywhere! The umpire signals for the physio to come out. Did that go off the helmet? Or the glove? Looked to be the glove in real-time. This jags back in and the bumper does not rise as much as Karun expected it to. Nair tries to sway away from the line of the ball but fails to get down enough in time. The ball sneaks past the bat and the gloves and catches him on the grill before lobbing in front of the slip cordon."
822,"On top of off, Nair gets on top of the bounce and dabs it down on the off side."
824,"Pitched up, on off, Rahul defends solidly with his bat close to the front pad."
825,"On a hard length, over off, KL rides the bounce and drops it near his feet."
826,"EDGED AND FOUR! No third slip and it races away! This kicks up a bit, on a hard length, on off, Rahul jabs at the ball with hard hands. Gets an outside edge that goes through the vacant third slip region for a boundary."
827,"A loud shout for LBW but turned down! Brydon Carse looks interested but there seemed to be an inside edge and yes, replays later confirm it. A wise decision not to go for the review. Nipping back in, on a length, on off, KL plays a bit outside the line of the ball as he looks to play it with a straight bat. Ekes out an inside edge onto the pads."
833,"Woakes goes into the wicket and gets a bit of away movement off the deck, around off, Karun presents a straight bat and keeps it out."
842,"A maiden from Tongue! Hits the deck hard, on top of the off stump. The ball kicks up a bit but Karun takes the bottom hand off the bat and watchfully fends it down on the leg side."
843,"A sharp and quick bumper but down leg, Nair ducks under it."
844,"Tongue goes into the wicket, over off, Nair hangs back and pats it down on the off side."
851,"Bowls it on a length, on off, KL gets forward to defend."
855,"Outside off, on a length, Rahul blocks it out."
864,"Just outside the off stump, on a length, Nair shoulders arms."
866,"Attacking the stumps, on a length, Rahul brings his bat out in front and blocks it out."
872,"Slanting in, on middle and leg, on a nagging length, Rahul dabs it down on the leg side."
881,"On a length, on off, Yashasvi pats it down on the off side."
883,"FOUR! Streaky! Cross-seam delivery from around the wicket, on a length, on off, Yashasvi Jaiswal looks to push it down the ground with a straight bat. Gets an outside edge that goes along the ground past gully for a boundary. Yashasvi brings up 2000 runs in Test cricket. He is the joint-fastest Indian to reach the landmark in 40 innings alongside Virender Sehwag and Rahul Dravid."
890,"On a hard length, on off, Yashasvi hops back and stabs it down the deck."
894,"Continues to zone in at the stumps, on a length, Jaiswal gets forward to block."
895,"Bowled from wide of the crease on the around-the-wicket angle, on a length, on middle, Yashasvi Jaiswal gets right behind it."
901,"Half an appeal for caught behind from Chris Woakes but a shake of the head from the umpire! Slanting down leg from around the wicket, Yashasvi Jaiswal misses out on the tickle and Jamie Smith gathers it with a dive to his right. The noise seemed to be of the bat hitting the pad."
909,"Angled in, on a hard length, around the hips, Rahul presses back and nudges it through square leg for a single to get off the mark."
915,"A vicious delivery and Bashir is struck right on the helmet! Mohammed Siraj shows serious concern as he walks up to Bashir to check if he's okay. A lethal bumper from Siraj, on the bodyline with some extra bounce. Shoaib Bashir is caught on the crease with the evasive action, but gets no time whatsoever to sway away from the line. The ball plonks straight onto the helmet and drops on the pitch. Bashir looks to be a bit shaken by that and the physio will be out for the concussion test."
918,"WIDE! Well outside the tramline on the off side, Jamie Smith lets it be and Pant dives low to his right to collect the ball. Wide called."
919,"Lands it outside off, on a fullish length, Jamie Smith with barely any footwork, pokes at it, away from his body and is beaten on the outside edge."
923,"Attacks the stumps, does Deep, Jamie Smith gets right behind it and blocks it off."
926,Slides it down leg on a length. Brydon Carse gets inside the line and misses to nudge it away. Rishabh Pant dives low to his left and collects it on the bounce.
935,"BEAUTY! Angles in on off and then straightens off the deck, on a length. Chris Woakes hangs his bat on the front foot and is beaten by a kitten-whisker on the outside edge."
936,"Good-length delivery, around off, Smith blocks it off the inside half of the bat to the leg side, just beside the pitch."
937,"Jags in sharply from off, on a length. Jamie Smith manages to bunt it down off the back foot."
940,"Hits the deck hard, does Siraj, on top of middle. Jamie Smith watchfully punches it back to the bowler. Siraj collects the ball on the bounce and gives a bit of stare to Smith."
952,"Angles it into the middle and leg, Jamie Smith pushes at it but gets an inside edge and the ball travels to deep backward square leg for a single. With this, England have avoided the follow-on as the deficit shrinks below 200!"
953,"Attacks the middle stump, on a length, Jamie Smith gets on the back foot and punches it solidly on the pitch."
961,"Nagging length, around off, knocked out to the off side."
969,"Ahh, this tails back in a touch, on a length, on off. Jamie Smith gets on the back foot to work it across, but inside edges onto the pads."
974,"Outside leg, on a length, Brook goes back and taps it to the leg side."
982,"Length, on off, tapped out to the off side."
985,"Dragged length, on leg again, knocked back by Smith to the bowler."
991,"Same line, same length, Smith does the same."
994,"Pushed into the batter, on a length, nudged to the leg side."
997,A huge cheer in the Hollies Stand as that's just missed by a whisker! Washington Sundar bowls across the batter and tosses it up on middle. Harry Brook again goes for the reverse but plays all over it and is clipped on the front pad. A huge appeal for LBW and Shubman Gill eventually takes the review. Nothing on UltraEdge and the Ball Tracking shows the ball to be sliding across the off stump. NOT OUT!
1002,"Pitched outside leg, on a length, steered to square leg."
1005,On middle and Brook smothers the spin by blocking it.
1010,"Down the leg side, Brook lets it be."
1030,"Slides into the batter, Smith watchfully defends it back."
1034,"Bowls from wider angle, sliding across middle, Harry Brook takes a giant stride out and blocks."
1039,"Really slow on off, Harry Brook defends it out."
1044,"In-drifter on middle, Harry Brook goes back and knocks it on the off side."
1045,"Attacks the off stump, Jamie Smith blocks this length ball off the back foot."
1050,"Just outside off, on a length, Brook dabs it with soft hands to the slip cordon."
1054,"Drifting in on middle, Brook clips it to the leg side."
1070,"150 FOR JAMIE SMITH! It has been a tremendous fighting innings from the youngster as he gets a warm reception from the Edgbaston crowd. Raises his bat and acknowledges the applause from his teammates and the crowd. Length, outside off, Brook runs it down to deep third for a single."
1077,On the stumps and Smith clips this to the mid-wicket region for a single.
1089,"Play and a miss! Akash bowls on a length, keeps it outside off as it nips in a touch. Jamie Smith hangs on the back foot to slash it away, but misses on the inside edge. That kept a bit low on the bounce as well."
1092,"Outside off, length, left alone."
1093,"Hard length, but wayward down leg. Harry Brook lets it be."
1094,"On a nagging length, on middle, Brook drops it beside the pitch on the leg side for one more."
1098,"On off, on a length, Smith brings his bat out in front. Defends inside the line and gets it off the outer half towards gully."
1100,"On a hard length, on off, Smith rides the bounce and steers it to the man at gully."
1106,"Slanting into the pads, on a length, Jamie brings his wrists into play and works it to the left of deep mid-wicket for a couple of runs."
1108,"On off, on a nagging length, defended on the off side."
1112,"Delivers it on a length, outside off, Smith shoulders arms."
1130,"Outside off, left alone by Harry."
1140,"On a length, on off, Brook gets right behind it."
1147,"Tossed up, on middle, Smith defends it with a straight bat."
1168,"Another tossed up delivery, on middle, Smith brings his bat out in front to defend."
1174,"At the stumps, on a nagging length, on middle, Smith defends it well."
1178,"Pushed through, outside off, Smith goes back and defends."
1186,"At the stumps, on a length, blocked out,"
1189,"Attacking the front pad from around the wicket, on a length, Brook gets his bat out in front to block."
1190,"Around off, on a nagging length, kept out with a straight bat."
1193,"Floated up, on off, Smith steps out and taps it back to Sundar."
1195,"On off, a bit of turn, on a length, Harry defends it out."
1198,"Sprayed on the pads, on a nagging length, nudged to mid-wicket."
1199,"On off, dabbed down on the off side by Harry."
1215,"Beaten! This does not turn, on a length, outside off, Harry Brook defends with his bat close to the front pad. Ends up playing inside the line and gets beaten on the outside edge."
1220,"On off, on a nagging length, Brook gets forward to defend."
1223,"SIX! WOW! Dispatched with disdain! Floated up, on off, Jamie Smith puts the dancing shoes on and swings through. Thumps it back over the sight screen for a biggie."
1228,"Around off, on a nagging length, dabbed down by Smith."
1229,"Pushed through, on off, Smith stabs it down on the off side."
1251,Prasidh spots Brook backing away and follows him with a hard-length delivery. Harry manages to open the bat face and glide it to the left of deep third for a couple of runs. 11 runs off the over!
1270,"Siraj bowls with a cross seam, 140 kph, on a length, Harry Brook gets right behind it and blocks it out."
1279,"Siraj bowls with a cross seam, 140 kph, on a length, Harry Brook gets right behind it and blocks it out."
1288,"BEATEN! A pearl f a delivery from 'Skiddy'. This one straightens up a bit from off, on a length. Jamie Smith plays at it but inside the line of the ball and is beaten past the outside edge."
1293,"Outside off, on a length, chopped wide of gully for a single."
1296,"No Ball for overstepping! Length ball, around off, blocked out by Brook."
1301,"On the stumps, Harry Brook blocks it on the pitch."
1311,"Nips in from off, on a length, Brook plays it on the up and bumps it on the surface."
1316,"Length-delivery, shaping inwards from off. Jamie Smith steers it through mid-wicket. Siraj chases it down before the ropes as he slides and saves a run for his side. Three taken."
1323,"The nip-backer on the leg stump line, Jamie Smith hops across and nudges it fine towards the leg side for a single."
1328,"Length-delivery, around off, Jamie Smith plays from his crease and blocks it out."
1330,"Just outside off, swinging in a touch, on a length, Jamie Smith watches the ball closely and shoulders arms at it."
1332,"Aims the off stick, on a length, Jamie Smith hops off and defends it off the back foot. Came more off the inner half of the bat."
1333,"Hard length, on top of middle, Harry Brook stands tall and steers it to deep mid-wicket for a single."
1336,"OUT! CAUGHT BEHIND! Mohammed Siraj does it again as he removes the English skipper on his very first ball. A picture-perfect start for the Indians as half of England's side is back in the dressing room on 84. A well-directed bumper from Siraj this, around the left shoulder and kicking off the deck. Ben Stokes is taken aback by that excessive lift off the deck and hangs his bat in an evasive action, but doesn't manage to drop his wrists down in time. Hence, a faint edge is found and the ball carries back to the keeper. Rishabh Pant takes a regulation catch and Ben Stokes departs for a golden duck. Siraj gets his third wicket and his joy knows no bounds.<br><b>Ben Stokes (c) c R Pant b M Siraj 0 (1b 0x4 0x6)</b>"
1342,"Identical length, but fairly outside off, Root does not offer any shot."
1344,"Ahh, this shapes away from the batter. Length, cutting away from off, Joe Root plays inside the line of the ball and it whispers past his outside edge."
1345,"Hits the deck hard, outside off, Root gets behind it, lets the ball come and blocks it off the back foot. Dear me! Another No Ball for overstepping. Akash will have to get his footing sorted. He did struggle with the landing area on Day 2."
1347,"Oh, dear! No Ball to begin the day as Akash has overstepped. On a length, just outside off, straighter one, Joe Root presses in to defend it under the bat."
1348,"Well bowled and equally well played! A proper bumper from Prasidh on the final delivery, bowling it over off and at a brisk pace. Harry Brook watches it all the way and ducks under it. That will be STUMPS ON DAY 2!"
1357,"Flatter delivery again and around off, Brook taps it away into the off side."
1358,"Flatter one around off, gripping a touch. Harry Brook backs away and cts it late and straight to gully."
1359,"A bit more round arm and angled in at the stumps, Brook gets forward well and blocks it off."
1363,"Pitches the ball up and around off, Joe Root stays solid in defense."
1367,"Angles this one in towards the legs, Brook leans on and defends it with a fairly straight bat."
1369,"Nagging length, around off and middle, drifting in, Brook leans on and tentatively keeps it out."
1374,"Hard length outside off, Root walks across to the off side and advances before blocking it off to the off side."
1379,"Just a bit of tail into the batter, on off and middle, Joe Root negotiates well by blocking it right under his eyes."
1383,"On the off stump, on a length, Harry Brook blocks it off the back foot."
1385,"Pitched outside leg again, but the length is shortened. Harry Brook steers it past square leg for a single. This partnership moves on to 36 (44) and England trail by 526 runs."
1388,"Ahh, that kept low and skidded as well. Length, on middle, Joe Root is squared up and manages to bring his bat in front to stab it onto the surface."
